AmNorte;Alaska
AmNorte;Tnoroeste
AmNorte;Groenlan
AmNorte;Alberta
AmNorte;Ontario
AmNorte;Quebec
AmNorte;USAOeste
AmNorte;USAEste
AmNorte;AmeCentra
AmSur;Venezuela
AmSur;Perú
AmSur;Brasil
AmSur;Argentina
Europa;Islandia
Europa;Escandina
Europa;GBretaña
Europa;EurSur
Europa;EurOcc
Europa;EurNorte
Europa;Rusia
Asia;Siberia
Asia;Yakustsk
Asia;Kamchatka
Asia;Irkutsk
Asia;Urales
Asia;Mongolia
Asia;Japón
Asia;Afgan
Asia;China
Asia;Omedio
Asia;India
Asia;Sasiático
Africa;ANorte
Africa;Egipto
Africa;Congo
Africa;AOriental
Africa;Sudáfrica
Africa;Madagasca
Oceania;Indonesia
Oceania;NGuinea
Oceania;AusOccid
Oceania;AusOrient
